batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
56bfb400-a52e-46b5-8e98-1a896bf2ae35,3,2024-01-18 07:51:17.728746,foldingdiff,backbone_pdb_generation,length = 713,T4 GPU,43.030704736709595 Seconds,14.343568245569864 Seconds (inferred),foldingdiff_len713_07fc6148-47e2-4125-8d4a-881d55094c31.pdb,07fc6148-47e2-4125-8d4a-881d55094c31
56bfb400-a52e-46b5-8e98-1a896bf2ae35,3,2024-01-18 07:51:17.728746,foldingdiff,backbone_pdb_generation,length = 713,T4 GPU,43.030704736709595 Seconds,14.343568245569864 Seconds (inferred),foldingdiff_len713_c948a6f3-f57c-4720-8805-e36532db6d18.pdb,c948a6f3-f57c-4720-8805-e36532db6d18
056bc321-f35a-4131-b8f8-ea3ecb5c5afa,3,2024-01-18 07:52:00.991904,foldingdiff,backbone_pdb_generation,length = 714,T4 GPU,44.54076647758484 Seconds,14.846922159194946 Seconds (inferred),foldingdiff_len714_4bb698a8-dc35-46e1-bb15-be9ffe0086d4.pdb,4bb698a8-dc35-46e1-bb15-be9ffe0086d4
056bc321-f35a-4131-b8f8-ea3ecb5c5afa,3,2024-01-18 07:52:00.991904,foldingdiff,backbone_pdb_generation,length = 714,T4 GPU,44.54076647758484 Seconds,14.846922159194946 Seconds (inferred),foldingdiff_len714_97531287-eea1-4cb8-bc1b-793d0a5d9d70.pdb,97531287-eea1-4cb8-bc1b-793d0a5d9d70
056bc321-f35a-4131-b8f8-ea3ecb5c5afa,3,2024-01-18 07:52:00.991904,foldingdiff,backbone_pdb_generation,length = 714,T4 GPU,44.54076647758484 Seconds,14.846922159194946 Seconds (inferred),foldingdiff_len714_e514c705-f59d-4dde-9aa0-b25d2a062145.pdb,e514c705-f59d-4dde-9aa0-b25d2a062145
37b0b572-c45c-4ce0-85c9-cf11e94a6333,2,2024-01-18 07:52:45.774289,foldingdiff,backbone_pdb_generation,length = 715,T4 GPU,41.940210819244385 Seconds,20.970105409622192 Seconds (inferred),foldingdiff_len715_0d18a27e-1148-49b7-a5a1-0959bfe64c5b.pdb,0d18a27e-1148-49b7-a5a1-0959bfe64c5b
37b0b572-c45c-4ce0-85c9-cf11e94a6333,2,2024-01-18 07:52:45.774289,foldingdiff,backbone_pdb_generation,length = 715,T4 GPU,41.940210819244385 Seconds,20.970105409622192 Seconds (inferred),foldingdiff_len715_515e27c3-9dfd-4011-b227-ffab51e07104.pdb,515e27c3-9dfd-4011-b227-ffab51e07104
2dcfffc4-825b-4651-aa58-0a37626b2762,3,2024-01-18 07:53:28.042018,foldingdiff,backbone_pdb_generation,length = 716,T4 GPU,42.27807688713074 Seconds,14.092692295710245 Seconds (inferred),foldingdiff_len716_e645e588-0aec-4072-a46e-f6fcdd7fc920.pdb,e645e588-0aec-4072-a46e-f6fcdd7fc920
2dcfffc4-825b-4651-aa58-0a37626b2762,3,2024-01-18 07:53:28.042018,foldingdiff,backbone_pdb_generation,length = 716,T4 GPU,42.27807688713074 Seconds,14.092692295710245 Seconds (inferred),foldingdiff_len716_32da6d87-994f-4f23-a078-e79dfff186e5.pdb,32da6d87-994f-4f23-a078-e79dfff186e5
2dcfffc4-825b-4651-aa58-0a37626b2762,3,2024-01-18 07:53:28.042018,foldingdiff,backbone_pdb_generation,length = 716,T4 GPU,42.27807688713074 Seconds,14.092692295710245 Seconds (inferred),foldingdiff_len716_41bce367-d395-4a26-b146-59063a1613e0.pdb,41bce367-d395-4a26-b146-59063a1613e0
19b82760-6bbe-4ad3-96f0-90f21f1f6422,3,2024-01-18 07:54:10.570728,foldingdiff,backbone_pdb_generation,length = 717,T4 GPU,42.96518898010254 Seconds,14.32172966003418 Seconds (inferred),foldingdiff_len717_fab9757d-6c11-49a9-b3dc-9bc071ef0248.pdb,fab9757d-6c11-49a9-b3dc-9bc071ef0248
19b82760-6bbe-4ad3-96f0-90f21f1f6422,3,2024-01-18 07:54:10.570728,foldingdiff,backbone_pdb_generation,length = 717,T4 GPU,42.96518898010254 Seconds,14.32172966003418 Seconds (inferred),foldingdiff_len717_6e5d8bc0-b74a-45c0-88b3-811b657b48c4.pdb,6e5d8bc0-b74a-45c0-88b3-811b657b48c4
19b82760-6bbe-4ad3-96f0-90f21f1f6422,3,2024-01-18 07:54:10.570728,foldingdiff,backbone_pdb_generation,length = 717,T4 GPU,42.96518898010254 Seconds,14.32172966003418 Seconds (inferred),foldingdiff_len717_0e54d036-4dd4-45d2-9248-ae52b9d456b5.pdb,0e54d036-4dd4-45d2-9248-ae52b9d456b5
